60.0 , 102742.4 , 78  , 56, 66
63.4 , 128235.8 , 97  , 75, 94
66.9 , 168392.6 , 127  , 101, 136
71.0 , 223889.6 , 169  , 137, 197
75.1 , 291982.0 , 220  , 194, 280
80.0 , 385427.2 , 290  , 250, 322
82.7 , 439160.7 , 330  , 287, 321
86.2 , 504132.1 , 379  , 331, 406
89.6 , 574378.1 , 431  , 393, 457
101.4 , 696590.2 , 523  , 483, 0
89.6 , 516630.2 , 388  , 391, 0
86.2 , 463015.2 , 348  , 377, 0
82.7 , 418787.2 , 315  , 397, 0
80.0 , 377086.8 , 283  , 360, 0
75.1 , 312909.0 , 235  , 288, 0
71.0 , 258299.2 , 194  , 234, 0
66.9 , 208579.7 , 157  , 185, 0
63.4 , 164531.1 , 124  , 143, 0
60.0 , 131210.7 , 99  , 109, 0
49.6 , 46363.3 , 36  , 36, 0
