0, 11.0, 4.416, 4.407, 4.65, 4.74, 4.61, 4.462, 4.477
1, 22.8, 4.44,  4.617, 4.83, 4.84, 4.907, 4.589, 4.669
2, 30.3, 4.8, 4.743, 5.34, 5.35, 5.197, 5.148, 5.132
3, 40.7, 4.795, 5.008, 5.85, 5.28, 5.297, 5.303, 5.440
4, 49.6, 5.249, 5.499, 5.88, 5.92, 5.917, 5.58, 5.981
5, 60.0, 6.067, 6.431, 7.24, 6.70, 6.712, 6.52, 6.740
6, 63.4, 6.536, 6.388, 7.27, 7.85, 8.424, 7.766, 7.542
7, 66.9, 7.022, 7.099, 7.90, 7.71, 8.459, 7.774, 8.044
8, 71.0, 7.894, 8.002, 11.10, 11.12, 12.057, 9.927, 11.104
9, 75.1, 9.382, 10.666, 19.29, 25.71, 22.23, 28.74, 59.617
10, 80.0, 12.676, 20.722, 72.4, -60.51, -28.65, -35.64, -19.579
11, 82.7, 18.894, 70.960, -31.56, -29.084, -16.648, -13.23, -10.632
12, 86.2, 36.435, -57.606, -14.97, -13.39, -10.894, -9.50, -8.148
13, 89.6, 302.17, -21.277, -11.72, -10.64, -7.859, -8.091, -7.246
14, 101.4, -13.297, -8.072, -6.43, -6.15, -5.323, -4.992, -4.799
15, 110.3, -8.982, -6.082, -5.48, -5.12, -5.231, -4.589, -4.556
16, 122.0, -6.644, -5.242, -4.65, -4.42, -4.149, -3.87, -3.792
17, 129.6, -5.742, -4.779, -4.4, -3.98, -3.888, -3.726, -3.596
18, 137.2, -5.087, -4.437, -3.82, -3.77, -3.67, -3.527, -3.440
19, 129.6, -4.339, -4.243, -4.07, -4.167, -3.794, -3.64, -3.517
20, 122.0, -5.172, -4.568, -4.66, -4.137, -3.96, -3.961, -3.741
21, 110.3, -5.73, -5.233, -4.53, -4.63, -4.13, -4.172, -4.037
22, 101.4, -7.658, -6.215, -5.44, -5.563, -4.689, -4.653, -4.642
23, 89.6, -17.428, -11.276, -7.92, -8.018, -6.708, -6.371, -6.095
24, 86.2, -37.577, -17.578, -9.66, -9.57, -7.979, -7.465, -7.117
25, 82.7, -278.82, -49.880, -15.15, -13.72, -9.958, -10.85, -8.952
26, 80.0, 52.307, -54.191, -20.83, -15.22, -15.724, -15.53, -14.064
27, 75.1, 12.143, 16.838, 55.7, -84.29, 553.97, 73.237, 358.466
28, 71.0, 8.978, 10.014, 13.44, 13.35, 19.62, 12.74, 20.999
29, 66.9, 7.705, 8.446, 8.85, 11.15, 10.323, 11.26, 10.487
30, 63.4, 6.785, 7.204, 8.67, 8.5, 8.546, 7.983, 8.825
31, 60.0, 6.623, 6.651, 7.26, 7.86, 7.888, 6.689, 7.290
32, 49.6, 5.509, 5.786, 5.99, 6.26, 6.122, 5.92, 6.229
33, 40.7, 5.215, 5.289, 5.59, 5.57, 5.737, 5.393, 5.509
34, 30.3, 4.873, 4.995, 5.4, 5.36, 5.344, 5.08, 5.207
35, 22.8, 4.688, 4.882, 5.14, 5.113, 5.239, 4.789, 5.028
