num, kpa, d
0, 11.0, 4.7141
1, 22.8, 4.804
2, 30.3, 4.792
3, 40.7, 
4, 49.6, 5.719
5, 60.0, 7.009
6, 63.4, 7.483
7, 66.9, 9.191
8, 71.0, 10.523
9, 75.1, 16.796
10, 80.0, -608.372
11, 82.7, -22.617
12, 86.2, -14.5307
13, 89.6, -10.983
14, 101.4,-6.319
15, 110.3, -5.558
16, 122.0, -4.976
17, 129.6, -4.844
18, 137.2, -4.359
19, 129.6, -4.543
20, 122.0, -5.499
21, 110.3, -5.391
22, 101.4, -5.893
23, 89.6, -8.275
24, 86.2, -10.728
25, 82.7, -14.678
26, 80.0, -34.741
27, 75.1, -26.829
28, 71.0, 14.273
29, 66.9, 8.943
30, 63.4, 7.789
31, 60.0, 7.152
32, 49.6, 5.842
33, 40.7, 5.429
34, 30.3, 5.358
35, 22.8, 5.049
