num, kpa, d
0, 11.0, 4.462
1, 22.8, 4.589
2, 30.3, 5.148
3, 40.7, 5.303
4, 49.6, 5.58
5, 60.0, 6.52
6, 63.4, 7.766
7, 66.9, 7.774
8, 71.0, 9.927
9, 75.1, 28.74
10, 80.0, -35.64
11, 82.7, -13.23
12, 86.2, -9.50
13, 89.6, -8.091
14, 101.4, -4.992
15, 110.3, -4.589
16, 122.0, -3.87
17, 129.6, -3.726
18, 137.2, -3.527
19, 129.6, -3.64
20, 122.0, -3.961
21, 110.3, -4.172
22, 101.4, -4.653
23, 89.6, -6.371
24, 86.2, -7.465
25, 82.7, -10.85
26, 80.0, -15.53
27, 75.1, 73.237
28, 71.0, 12.74
29, 66.9, 11.26
30, 63.4, 7.983
31, 60.0, 6.689
32, 49.6, 5.92
33, 40.7, 5.393
34, 30.3, 5.08
35, 22.8, 4.789
