num, kpa, d
0, 11.0, 4.61
1, 22.8, 4.907
2, 30.3, 5.197
3, 40.7, 5.297
4, 49.6, 5.917
5, 60.0, 6.712
6, 63.4, 8.424
7, 66.9, 8.459
8, 71.0, 12.057
9, 75.1, 22.23
10, 80.0, -28.65
11, 82.7,-16.648
12, 86.2, -10.894
13, 89.6, -7.859
14, 101.4,-5.323
15, 110.3, -5.231
16, 122.0, -4.149
17, 129.6, -3.888
18, 137.2, -3.67
19, 129.6, -3.794
20, 122.0, -3.96
21, 110.3, -4.13
22, 101.4, -4.689
23, 89.6, -6.708
24, 86.2, -7.979
25, 82.7, -9.958
26, 80.0, -15.724
27, 75.1, 553.97
28, 71.0, 19.62
29, 66.9, 10.323
30, 63.4, 8.546
31, 60.0, 7.888
32, 49.6, 6.122
33, 40.7, 5.737
34, 30.3, 5.344
35, 22.8, 5.239
