num, kpa, d
0, 11.0, 4.692
1, 22.8, 4.941
2, 30.3, 5.136
3, 40.7, 5.561
4, 49.6, 6.015
5, 60.0, 7.098
6, 63.4, 7.597
7, 66.9, 8.806
8, 71.0, 11.324
9, 75.1, 22.728
10, 80.0, -56.437
11, 82.7, -22.817
12, 86.2, -13.031
13, 89.6, -9.006
14, 101.4, -6.395
15, 110.3, -5.543
16, 122.0, -4.818
17, 129.6, -4.633
18, 137.2, -4.316
19, 129.6, -3.998
20, 122.0, -4.066
21, 110.3, -4.381
22, 101.4, -4.772
23, 89.6, -6.022
24, 86.2, -6.819
25, 82.7, -7.303
26, 80.0, -12.072
27, 75.1, -33.306
28, 71.0, 25.17
29, 66.9, 11.685
30, 63.4, 8.4156
31, 60.0, 7.79
32, 49.6, 6.206
33, 40.7, 5.859
34, 30.3, 5.443
35, 22.8, 5.169
