num, kpa, d
0, 13.8, 4.450
1, 26.2, 4.682
2, 31.0, 4.831
3, 41.4, 5.057
4, 53.1, 5.171
5, 62.1, 5.383
6, 75.2, 5.727
7, 84.1, 6.260
8, 94.5, 7.301
9, 116.5, 24.777
10, 129.6, -21.546
11, 144.8, -9.890
12, 158.6, -7.635
13, 166.2, -6.880
14, 173.7, -6.318
15, 183.4, -5.682
16, 193.7, -5.329
17, 204.8, -4.844
18, 193.7, -4.836
19, 183.4, -4.916
20, 173.7, -5.599
21, 166.2, -6.042
22, 158.6, -5.952
23, 144.8, -7.230
24, 129.6, -11.356
25, 116.5, -47.960
26, 94.5, 8.600
27, 84.1, 6.722
28, 75.2, 6.225
29, 62.1, 5.593
30, 53.1, 5.429
31, 41.4, 5.125
32, 31.0, 4.993
33, 26.2, 5.013
