num, kpa, d
0, 13.8, 4.346
1, 26.2, 4.504
2, 31.0, 4.545
3, 41.4, 4.667
4, 53.1, 4.831
5, 62.1, 5.161
6, 75.2, 5.405
7, 84.1, 5.743
8, 94.5, 6.75
9, 116.5, 11.596
10, 129.6, 23.819
11, 144.8, -931.0156
12, 158.6, -32.01
13, 166.2, -19.366
14, 173.7, -15.177
15, 183.4, -11.486
16, 193.7, -8.553
17, 204.8, -5.484
18, 193.7, -5.7618
19, 183.4, -5.651
20, 173.7, -5.981
21, 166.2, -6.474
22, 158.6, -7.353
23, 144.8, -8.705
24, 129.6, -17.241
25, 116.5, 66.380
26, 94.5, 8.387
27, 84.1, 6.558
28, 75.2, 6.305
29, 62.1, 5.694
30, 53.1, 5.368
31, 41.4, 5.018
32, 31.0, 5.008
33, 26.2, 5.017
