num, kpa, d
0, 13.8, 4.798
1, 26.2, 4.83
2, 31.0, 4.927
3, 41.4, 5.075
4, 53.1, 5.566
5, 62.1, 5.659
6, 75.2, 6.24
7, 84.1, 7.194
8, 94.5, 9.581
9, 116.5, -20.192
10, 129.6, -7.995
11, 144.8, -6.0256
12, 158.6, -5.249
13, 166.2, -4.892
14, 173.7, -4.765
15, 183.4, -4.46
16, 193.7, -4.026
17, 204.8, -3.917
18, 193.7, -3.921
19, 183.4, -4.074
20, 173.7, -4.196
21, 166.2, -4.36
22, 158.6, -4.561
23, 144.8, -4.961
24, 129.6, -6.044
25, 116.5, -7.591
26, 94.5, 13.039
27, 84.1, 8.741
28, 75.2, 6.825
29, 62.1, 6.0926
30, 53.1, 5.686
31, 41.4, 5.335
32, 31.0, 5.312
33, 26.2, 5.178
