num, kpa, d
0, 13.8, 4.37
1, 26.2, 4.525
2, 31.0, 4.63
3, 41.4, 5.364
4, 53.1, 4.99
5, 62.1, 5.18
6, 75.2, 5.379
7, 84.1, 5.636
8, 94.5, 5.972
9, 116.5, 7.54
10, 129.6, 9.23
11, 144.8, 15.63
12, 158.6, 35.59
13, 166.2, -312.49
14, 173.7, -26.18 
15, 183.4, -14.34
16, 193.7, -8.877
17, 204.8, -6.436
18, 193.7, -6.44
19, 183.4, -6.408
20, 173.7, -7.592
21, 166.2, -8.269
22, 158.6, -9.356
23, 144.8, -13.560
24, 129.6, -54.535
25, 116.5, 18.064
26, 94.5, 14.318
27, 84.1, 6.249
28, 75.2, 5.752
29, 62.1, 5.399
30, 53.1, 5.226
31, 41.4, 5.004
32, 31.0, 4.866
33, 26.2, 4.753
