num, kpa, d
0, 11.0, 4.407
1, 22.8, 4.617
2, 30.3, 4.743
3, 40.7, 5.008
4, 49.6, 5.499
5, 60.0, 6.431
6, 63.4, 6.388
7, 66.9, 7.099
8, 71.0, 8.002
9, 75.1, 10.666
10, 80.0, 20.722
11, 82.7, 70.960
12, 86.2, -57.606
13, 89.6, -21.277
14, 101.4, -8.072
15, 110.3, -6.082
16, 122.0, - 5.242
17, 129.6, -4.779
18, 137.2, -4.437
19, 129.6, -4.243
20, 122.0, -4.568
21, 110.3, -5.233
22, 101.4, -6.215
23, 89.6, -11.276
24, 86.2, -17.578
25, 82.7, -49.880
26, 80.0, -54.191
27, 75.1, 16.838
28, 71.0, 10.014
29, 66.9, 8.446
30, 63.4, 7.204
31, 60.0, 6.651
32, 49.6, 5.786
33, 40.7, 5.289
34, 30.3, 4.995
35, 22.8, 4.882
