num, kpa, d
0, 13.8, 4.215
1, 26.2, 4.571
2, 31.0, 4.7
3, 41.4, 4.88
4, 53.1, 5.279
5, 62.1, 5.472
6, 75.2, 5.899
7, 84.1, 6.253
8, 94.5, 7.276
9, 116.5, 12.61
10, 129.6, 26.288
11, 144.8, -49.489
12, 158.6, -21.674
13, 166.2, -15.1625
14, 173.7, -12.027
15, 183.4, -10.379
16, 193.7, -7.8
17, 204.8, -5.642
18, 193.7, -5.977
19, 183.4, -6.111
20, 173.7, -6.46
21, 166.2, -6.866
22, 158.6, -7.847
23, 144.8, -10.27
24, 129.6, -25.415
25, 116.5, 38.908
26, 94.5, 7.9
27, 84.1, 6.667
28, 75.2, 6.124
29, 62.1, 5.839
30, 53.1, 5.427
31, 41.4, 5.174
32, 31.0, 4.965
33, 26.2, 4.894
