num, kpa, d
0, 13.8, 4.643
1, 26.2, 4.916
2, 31.0, 5.04
3, 41.4, 5.199
4, 53.1, 5.425
5, 62.1, 5.587
6, 75.2, 5.881
7, 84.1, 6.658
8, 94.5, 8.076
9, 116.5, 514.9
10, 129.6, -13.467
11, 144.8, -8.146
12, 158.6, -6.576
13, 166.2, -6.133
14, 173.7, -5.749
15, 183.4, -5.421
16, 193.7, -5.096
17, 204.8,
18, 193.7, 
19, 183.4, 
20, 173.7, -5.28
21, 166.2, -5.674
22, 158.6, -6.031
23, 144.8, -6.887
24, 129.6, -10.731
25, 116.5, -41.909
26, 94.5, 9.886
27, 84.1, 7.641
28, 75.2, 6.377
29, 62.1, 5.853
30, 53.1, 5.617
31, 41.4, 5.411
32, 31.0, 5.142
33, 26.2, 4.925
