number, kpa, d, h, u
0, 11, 4.74, 0.634, 0.433
1, 22.8, 4.84, 0.651, 
2, 30.3,  5.35, 0.673, 0.43
3, 40.7, 5.28, 0.679, 0.431
4, 49.6, 5.92, 0.683, 0.434
5, 60, 6.70, 0.724, 0.429
6, 63.4, 7.85, 0.743, 0.434
7, 66.9, 7.71, 0.770, 0.434
8, 71.0, 11.12, 0.777, 0.431
9, 75.1, 25.71, 0.816, 0.436
10, 80, 60.51, 0.839, 0.423
11, 82.7, 29.084, 0.858, 0.424
12, 86.2, 13.39, 0.896, 0.432
13, 89.6, 10.64, 0.961, 0.427
14, 101.4, 6.15, 0.968, 0.422
15, 110.3, 5.12, 0.950, 0.419
16, 122.0, 4.42, 0.973, 0.430
17, 129.6, 3.98, 0.997, 0.426
18, 137.2, 3.77, 1.031, 0.421
19, 129.6, 4.167, 0.962, 0.437
20, 122.0, 4.137, 0.999, 0.453
21, 110.3, 4.63, 0.977, 0.439
22, 101.4, 5.563, 0.948, 0.431
23, 89.6, 8.018, 0.9, 0.449
24, 86.2, 9.57, 0.946, 0.434
25, 82.7, 13.72, 0.899, 0.416
26, 80.0, 15.22, 0.905, 0.446
27, 75.1, 84.29, 0.802, 0.439
28, 71.0, 13.35, 0.846, 0.438
29, 66.9, 11.15, 0.762, 0.438
30, 63.4, 8.5, 0.731, 0.416
31, 60.0, 7.86, 0.749, 0.435
32, 49.6, 6.26, 0.678, 0.435
33, 40.7, 5.57, 0.643, 0.446
34, 30.3, 5.36, 0.665, 0.436
35, 22.8, 5.113, 0.587, 0.448
