num, kpa, d
0, 13.8, 4.535
1, 26.2, 4.715
2, 31.0, 4.739
3, 41.4, 4.867
4, 53.1, 5.123
5, 62.1, 5.294
6, 75.2, 5.694
7, 84.1, 6.029
8, 94.5, 6.897
9, 116.5, 14.321
10, 129.6, 1492.940
11, 144.8, -13.467
12, 158.6, -9.462
13, 166.2, -8.239
14, 173.7, -7.416
15, 183.4, -6.744
16, 193.7, -6.034
17, 204.8,
18, 193.7,
19, 183.4,
20, 173.7,
21, 166.2,
22, 158.6,
23, 144.8, -9.503
24, 129.6, -19.268
25, 116.5, -31.144
26, 94.5, 7.620
27, 84.1, 6.385
28, 75.2, 5.932
29, 62.1, 5.496
30, 53.1, 5.276
31, 41.4, 7.855
32, 31.0, 4.868
33, 26.2, 4.799
