num, kpa, d
0, 11.0, 4.747
1, 22.8, 5.023
2, 30.3, 5.0287
3, 40.7, 5.318
4, 49.6, 5.516
5, 60.0, 6.712
6, 63.4, 7.231
7, 66.9, 8.211
8, 71.0, 9.835
9, 75.1, 16.608
10, 80.0, 90.188
11, 82.7, -23.777
12, 86.2, -16.15
13, 89.6, -11.974
14, 101.4,-9.283
15, 110.3, -5.969
16, 122.0, -5.2103
17, 129.6, -5.217
18, 137.2, -4.667
19, 129.6, -8.782
20, 122.0, -5.042
21, 110.3, -5.6485
22, 101.4, -6.374
23, 89.6, -9.596
24, 86.2, -14.022
25, 82.7, -24.471
26, 80.0, -42.31
27, 75.1, 22.973
28, 71.0, 12.007
29, 66.9, 9.296
30, 63.4, 7.67
31, 60.0, 6.92
32, 49.6, 5.929
33, 40.7, 5.492
34, 30.3, 5.239
35, 22.8, 4.88
