num, kpa, d
1, 22.8, 5.001
2, 30.3, 5.198
3, 40.7, 5.69
4, 49.6, 6.086
5, 60.0, 7.129
6, 63.4, 8.899
7, 66.9, 8.509
8, 71.0, 15.283
9, 75.1, 1395.55
10, 80.0, -16.82
11, 82.7, -7.98
12, 86.2, -6.9
13, 89.6, -6.462
14, 101.4, -4.745
15, 110.3, -4.452
16, 122.0, -3.975
17, 129.6, -3.782
18, 137.2, -3.543
19, 129.6, -3.604
20, 122.0, -3.766
21, 110.3, -4.05
22, 101.4, -4.471
23, 89.6, -5.78
24, 86.2, -6.483
25, 82.7, -7.03
26, 80.0, -8.329
27, 75.1, -25.814
28, 71.0, 24.018
29, 66.9, 12.182
30, 63.4, 8.906
31, 60.0, 7.789
32, 49.6, 6.396
33, 40.7, 6.085
34, 30.3, 5.503
35, 22.8, 5.634
