num, kpa, d
0, 13.8, 4.729
1, 26.2, 4.99
2, 31.0, 4.79
3, 41.4, 5.155
4, 53.1, 5.485
5, 62.1, 5.75
6, 75.2, 6.08
7, 84.1, 6.87
8, 94.5, 8.181
9, 116.5, 52.928
10, 129.6, -22.538
11, 144.8, -9.835
12, 158.6, -7.601
13, 166.2, -6.628
14, 173.7, -6.628
15, 183.4, -5.728
16, 193.7, -5.239
17, 204.8, -4.266
18, 193.7, -4.306
19, 183.4, -4.649
20, 173.7, -4.734
21, 166.2, -4.875
22, 158.6, -5.108
23, 144.8, -5.965
24, 129.6, -8.263
25, 116.5, -11.629
26, 94.5, 11.547
27, 84.1, 7.749
28, 75.2, 6.752
29, 62.1, 6.07
30, 53.1, 5.354
31, 41.4, 5.407
32, 31.0, 5.339
33, 26.2, 5.234
