num, kpa, d
0, 11.0, 4.403
1, 22.8, 4.655
2, 30.3, 5.071
3, 40.7, 5.32
4, 49.6, 5.768
5, 60.0, 6.298
6, 63.4, 6.289
7, 66.9, 7.281
8, 71.0, 8.534
9, 75.1, 12.166
10, 80.0, 20.973
11, 82.7, 91.422
12, 86.2, 64.006
13, 89.6, 31.076
14, 101.4, 9.551
15, 110.3, 6.936
16, 122.0, 5.872
17, 129.6, 5.444
18, 137.2, 5.049
19, 129.6, 5.153
20, 122.0, 5.429
21, 110.3, 6.033
22, 101.4, 7.358
23, 89.6, 11.938
24, 86.2, 23.813
25, 82.7, 45.669
26, 80.0, 89.946
27, 75.1, 19.806
28, 71.0, 11.304
29, 66.9, 8.136
30, 63.4, 7.3
31, 60.0, 7.148
32, 49.6, 6.355
33, 40.7, 5.509
34, 30.3, 5.444
35, 22.8, 5.23
