11.0 kpa, 20156.5 raw, 16 g 
22.8 kpa, 23982.0 raw, 19 g 
30.3 kpa, 27587.2 raw, 21 g 
40.7 kpa, 34628.8 raw, 27 g 
49.6 kpa, 48483.3 raw, 37 g 
60.0 kpa, 80687.4 raw, 61 g 
63.4 kpa, 99290.6 raw, 75 g 
66.9 kpa, 121753.4 raw, 92 g 
71.0 kpa, 162945.1 raw, 123 g 
75.1 kpa, 222741.6 raw, 168 g 
80.0 kpa, 51791.0 raw, 40 g 
75.1 kpa, 296336.6 raw, 223 g 
71.0 kpa, 249163.0 raw, 188 g 
66.9 kpa, 205993.5 raw, 155 g 
63.4 kpa, 163145.4 raw, 123 g 
60.0 kpa, 131162.2 raw, 99 g 
49.6 kpa, 70221.0 raw, 53 g 
40.7 kpa, 46254.7 raw, 35 g 
30.3 kpa, 33319.3 raw, 26 g 
22.8 kpa, 27871.3 raw, 22 g 
