60.0 , 73080.2 , 56  
63.4 , 98372.7 , 75  
66.9 , 134264.2 , 101  
71.0 , 182053.7 , 137  
75.1 , 257545.8 , 194  
75.1 , 259537.5 , 195  
80.0 , 332834.1 , 250  
82.7 , 381872.6 , 287  
86.2 , 440168.5 , 331  
89.6 , 520999.3 , 391  
89.6 , 523015.3 , 393  
89.6 , 523825.8 , 393  
101.4 , 642632.1 , 483  
89.6 , 520206.0 , 391  
86.2 , 501623.6 , 377  
82.7 , 530680.1 , 399  
82.7 , 529142.8 , 397  
80.0 , 479484.7 , 360  
75.1 , 383583.6 , 288  
71.0 , 310885.0 , 234  
66.9 , 246362.9 , 185  
63.4 , 189978.6 , 143  
60.0 , 144374.4 , 109  
49.6 , 46974.8 , 36  
