60.0 kpa, 87104.4 raw, 66 g 
63.4 kpa, 124611.3 raw, 94 g 
66.9 kpa, 180441.9 raw, 136 g 
71.0 kpa, 261479.4 raw, 197 g 
75.1 kpa, 372446.5 raw, 280 g 
80.0 kpa, 305561.6 raw, 230 g 
80.0 kpa, 429087.8 raw, 322 g 
80.0 kpa, 427563.8 raw, 321 g 
82.7 kpa, 479803.4 raw, 360 g 
86.2 kpa, 541061.7 raw, 406 g 
89.6 kpa, 608551.0 raw, 457 g 
