11.0 kpa, 22334.1 raw, 18 g 
22.8 kpa, 26185.3 raw, 20 g 
30.3 kpa, 29482.4 raw, 23 g 
40.7 kpa, 37825.6 raw, 29 g 
49.6 kpa, 48921.1 raw, 37 g 
60.0 kpa, 79680.2 raw, 60 g 
63.4 kpa, 97406.9 raw, 74 g 
66.9 kpa, 123556.8 raw, 93 g 
71.0 kpa, 165442.7 raw, 125 g 
75.1 kpa, 222741.1 raw, 168 g 
80.0 kpa, 310919.9 raw, 234 g 
82.7 kpa, 365625.3 raw, 275 g 
80.0 kpa, 342788.4 raw, 258 g 
75.1 kpa, 282351.4 raw, 212 g 
71.0 kpa, 234715.3 raw, 177 g 
66.9 kpa, 186246.5 raw, 140 g 
63.4 kpa, 144625.9 raw, 109 g 
60.0 kpa, 112517.5 raw, 85 g 
49.6 kpa, 59694.2 raw, 46 g 
40.7 kpa, 39106.7 raw, 30 g 
30.3 kpa, 28633.4 raw, 22 g 
22.8 kpa, 24696.2 raw, 19 g 
