11.0 , 22334.1 , 18  
22.8 , 26185.3 , 20  
30.3 , 29482.4 , 23  
40.7 , 37825.6 , 29  
49.6 , 48921.1 , 37  
60.0 , 79680.2 , 60  
63.4 , 97406.9 , 74  
66.9 , 123556.8 , 93  
71.0 , 165442.7 , 125  
75.1 , 222741.1 , 168  
80.0 , 310919.9 , 234  
82.7 , 365625.3 , 275  
80.0 , 342788.4 , 258  
75.1 , 282351.4 , 212  
71.0 , 234715.3 , 177  
66.9 , 186246.5 , 140  
63.4 , 144625.9 , 109  
60.0 , 112517.5 , 85  
49.6 , 59694.2 , 46  
40.7 , 39106.7 , 30  
30.3 , 28633.4 , 22  
22.8 , 24696.2 , 19  
