12,0.1,-11.95792398,-9.73717975,-7.7044886,-2.14633915,-15.58812402,-5.55399585,-24.10266415,-14.08860782,-20.80246635,-10.73884395,-8.99618665,-12.6937019
12,1.1,-17.69295112,-12.11722785,-12.25006142,-10.23384848,-18.20850842,-9.26965465,-25.81766787,-21.58881833,-23.74855815,-16.66841028,-14.40248248,-19.10359023
12,2.2,-23.81433948,-16.35593803,-18.33266465,-16.43223735,-23.55625405,-15.3885888,-32.53073755,-30.05484418,-30.60081603,-24.20990392,-22.13496548,-26.9252571
12,3.1,-29.979509,-23.27108478,-25.12321692,-23.58149725,-29.70192145,-22.32639308,-39.3834775,-38.44382568,-37.44286268,-32.64928417,-30.86871825,-35.32690403
12,4.1,-34.5306476,-32.03836368,-32.8207714,-31.41894113,-34.26866175,-30.04011898,-45.32636663,-45.5319497,-43.69940733,-40.75020395,-39.97656123,-43.60461385
12,5.1,-40.77947905,-40.95946832,-40.01284832,-40.66627908,-40.26913692,-38.94211592,-51.06647748,-51.8518653,-50.24375075,-49.30111882,-48.4329894,-51.26763422
12,6.2,-47.5827844,-50.25387433,-47.22845928,-48.67411455,-46.54123945,-47.24520043,-59.36653805,-60.10091358,-59.61287837,-59.38297243,-59.7761265,-59.40541083
12,7.2,-56.05091385,-59.05735268,-55.2947573,-57.10148675,-57.34616172,-55.36689325,-72.36257885,-73.65186653,-73.01149563,-72.64533775,-74.44163685,-73.78640928
12,8.2,-67.6411363,-70.32874825,-66.23019043,-67.8295838,-67.35899095,-66.17869605,-90.175776,-86.20759755,-90.21771653,-91.2195122,-93.10183978,-92.7681124
12,9.2,-82.02195945,-85.92220915,-82.26426788,-83.74984773,-83.91594448,-82.62709505,-114.032616,-114.3110362,-114.0900705,-113.4698153,-118.5111804,-115.0302044
12,10.2,-101.9002783,-106.9709622,-102.9723692,-105.1399976,-104.2612625,-103.4200416,-145.8574983,-148.6444615,-146.7065638,-147.963684,-153.7928472,-148.3437782
12,11.2,-126.0433831,-132.9243464,-127.4868033,-129.7351135,-129.9570871,-128.3434944,-192.428529,-195.843373,-197.9698496,-196.3880739,-200.4200177,-196.7126418
6,12.2,-154.2211489,-169.4792171,-155.8529728,-154.5402388,-169.6966329,-154.7375389,,,,,,
6,13.3,-192.9584609,-196.6604463,-196.2918342,-190.6539232,-195.8778632,-194.3716418,,,,,,
6,14.2,-237.3254008,-239.3161953,-241.5238358,-237.719519,-239.0583289,-239.8888127,,,,,,
6,15.3,-284.2158719,-284.8987531,-288.6813326,-281.4598053,-283.3589179,-283.8359968,,,,,,
6,14.2,-255.9688188,-261.0355147,-261.271337,-255.5157121,-256.3098649,-257.9973027,,,,,,
6,13.3,-228.0210027,-236.1766599,-233.1046589,-227.3703329,-227.8329496,-229.1610663,,,,,,
6,12.2,-196.1527336,-201.0304999,-199.5589003,-193.3379854,-194.025994,-195.4685816,,,,,,
6,11.2,-163.5176585,-165.8154471,-165.2029489,-159.3862758,-160.7446317,-161.0098605,,,,,,
12,10.2,-128.9926741,-129.9771151,-131.6348396,-125.3844304,-126.2223644,-127.2862601,-140.3399746,-142.4685549,-139.3493543,-142.96312,-145.2852752,-143.9898521
12,9.2,-99.48609048,-98.81521738,-100.7564019,-96.42022495,-96.28046703,-97.22752528,-102.9111895,-104.6849188,-100.9991924,-104.0250457,-116.4775689,-126.6734551
12,8.2,-78.18797315,-78.07836683,-78.49338958,-76.76629015,-76.33457008,-76.78820265,-74.84324915,-93.0522737,-89.61490365,-89.82158235,-87.14014973,-90.23020665
12,7.2,-65.05660075,-64.2446988,-64.72576583,-63.1036711,-62.41535565,-63.56764637,-53.86111008,-65.9018097,-65.67957312,-66.08399023,-64.04174523,-66.4971285
12,6.2,-51.25203253,-50.59062562,-50.54298785,-49.16333303,-48.8130398,-49.84525003,-38.98339907,-47.80318033,-47.24226415,-48.84490058,-47.45775168,-48.06446498
12,5.1,-38.59449603,-38.01512953,-37.66190003,-36.40066035,-36.24784257,-37.58695928,-28.92924288,-34.9354153,-35.58731217,-36.91994277,-36.75529225,-35.71085485
12,4.1,-27.65932585,-27.6432859,-26.69916392,-25.66178235,-25.660117,-26.08513185,-21.92631465,-26.4978757,-26.8200771,-28.2505251,-28.37757378,-27.49314145
12,3.1,-18.55875783,-17.9553314,-17.29436275,-16.58260092,-16.57383592,-16.91865103,-17.22428657,-21.32499182,-21.56432015,-22.95269615,-23.297073,-22.26836878
12,2.2,-10.38066223,-10.05114205,-8.73919685,-8.736874125,-8.46905955,-8.777981975,-12.78332402,-15.93889932,-16.6335694,-17.6057832,-17.66810235,-16.9533166
12,1.1,-3.54207775,-3.114477225,-2.549572975,-2.3292647,-2.132446625,-2.3457429,-8.857305225,-11.17757603,-11.23507442,-12.33140063,-12.37154433,-11.60294148
