19,0.1,0.150395747,0.150934141,0.145902165,0.149082696,0.14279185,0.132421032,0.117812691,0.154894798,0.143970863,0.15267112,0.143316433,0.138347868,0.147687384,0.151124657,0.139127213,0.145842756,0.146318134,0.142923128,0.144254143
6,1.1,,,,,,,,,,,,,0.14705951,0.141437889,0.147978433,0.135329184,0.146335105,0.140767338,0.141101361
6,2.2,,,,,,,,,,,,,0.145726531,0.137247182,0.146194218,0.136219214,0.141214624,0.137562513,0.13771356
19,3.1,0.142261436,0.143139192,0.135797862,0.14190223,0.132439405,0.131442524,0.10490803,0.139855993,0.139023645,0.142312975,0.136528129,0.135487536,0.141730408,0.136555487,0.137443704,0.134416211,0.144939226,0.136187442,0.133362615
6,4.1,,,,,,,,,,,,,0.135253026,0.134213284,0.136736523,0.130353469,0.139864469,0.131266572,0.128452405
6,5.1,,,,,,,,,,,,,0.136567488,0.130506844,0.136928349,0.126210485,0.134008896,0.123211527,0.125670858
19,6.2,0.135476602,0.133877047,0.130130305,0.128487045,0.123513012,0.121361481,0.099828847,0.133662232,0.129570914,0.131492722,0.1338843,0.122583815,0.135718981,0.122271246,0.127636573,0.13278513,0.130724123,0.127247581,0.125737886
6,7.2,,,,,,,,,,,,,0.133606509,0.120423333,0.12278658,0.12719955,0.130266343,0.127073819,0.121086702
6,8.2,,,,,,,,,,,,,0.12082878,0.121654345,0.131160771,0.125010507,0.126381028,0.118447262,0.117150131
19,9.2,0.123350786,0.124229289,0.119635606,0.123894745,0.119315713,0.110164747,0.075710112,0.11056383,0.114787123,0.118658754,0.11310874,0.114500957,0.123878532,0.11517373,0.121770856,0.121862613,0.120480756,0.114422575,0.117145423
18,10.2,0.120112397,0.110705152,0.105879565,0.113816784,0.108605443,0.101714737,,0.109714472,0.106765291,0.115330907,0.103720005,0.103674153,0.119596921,0.11227438,0.117179358,0.116801652,0.113733572,0.11081818,0.112736755
18,11.2,0.11154884,0.10947279,0.096014623,0.112765101,0.103570937,0.097414704,,0.101289658,0.097208408,0.111391913,0.100826606,0.09267479,0.115478685,0.10509808,0.107307903,0.111275892,0.111114177,0.106807814,0.103115262
19,12.2,0.103943885,0.098199104,0.094065991,0.103884469,0.095355439,0.087872644,0.094600239,0.085287584,0.079352797,0.090394241,0.084256213,0.072916741,0.112473528,0.100418641,0.100090189,0.100843229,0.100317059,0.093348713,0.096113877
