0.1,-3.329745625,-3.454120975,-4.3739639,-3.807087525,-3.355952975,-3.749063225
3.1,-12.96125353,-9.2690411,-7.867824375,-8.816285025,-7.8757567,-8.997632875
6.2,-25.79040873,-22.56935887,-21.1263331,-21.9386733,-20.53149638,-21.70784703
9.2,-39.61938748,-37.20813598,-35.88190382,-37.30314857,-36.02275738,-36.63385318
12.2,-54.60736218,-52.7641265,-52.92842643,-53.01511228,-51.49819755,-52.19939755
15.3,-69.98467818,-68.7236138,-69.260733,-68.95715723,-65.45400585,-70.2858874
16.3,-75.67535443,-74.39535765,-74.74600148,-74.74871863,-72.97853922,-74.58823148
17.3,-81.30112585,-80.05601378,-80.33395193,-79.97673435,-78.74266618,-79.69515873
18.3,-86.82592448,-86.13677635,-86.00166387,-85.87912918,-87.3378443,-85.34718133
19.3,-92.33560348,-91.85786715,-91.65026813,-91.5020958,-92.72590893,-91.0019649
20.3,-98.23313373,-97.75232965,-97.5964003,-97.28151768,-96.7654783,-96.96383025
21.3,-104.0306115,-103.7363705,-103.3446188,-103.1669961,-102.3738074,-102.8195076
22.3,-110.8900567,-110.1460835,-109.5572946,-109.5650516,-108.0117183,-108.6617746
23.3,-116.3180459,-116.3426755,-115.9219994,-115.4557452,-114.1020786,-114.6319228
24.4,-122.538917,-122.9533262,-125.4454348,-121.5806395,-123.3910503,-121.090194
25.4,-129.0377262,-129.2570704,-129.3651866,-128.4741806,-127.9296111,-129.6833561
26.4,-156.7676444,-137.7903676,-136.0006422,-135.2108719,-134.9310055,-136.90576
27.4,-161.3690503,-144.6325019,-142.8427765,-145.8760363,-141.686191,-143.859911
28.4,-170.622436,-152.0996245,-150.2584486,-152.3668694,-148.7679165,-151.275846
29.4,-174.1656873,-159.7267084,-157.842584,-159.00307,-156.478005,-158.686785
30.5,-181.8538632,-167.3252622,-169.2152591,-166.851996,-165.5389552,-166.544476
29.4,-177.624444,-162.5405802,-163.3951238,-161.6585582,-160.8051978,-161.6533869
28.4,-173.3819648,-156.7694412,-156.9393507,-155.6479595,-154.8282567,-155.6544456
27.4,-166.4258855,-150.104579,-150.1979263,-148.9891451,-147.5874902,-148.9943603
26.4,-159.167589,-143.0685629,-142.8200314,-141.8995311,-140.4925294,-141.8838417
25.4,-151.1368769,-135.6109503,-135.6029742,-134.9063758,-133.2030734,-134.564234
24.4,-143.0265348,-128.2079437,-128.136246,-127.9021767,-126.2716237,-127.4162012
23.3,-136.3894138,-121.3479288,-121.0894928,-121.0355442,-119.1075071,-120.589581
22.3,-130.0558686,-114.259498,-114.0131138,-114.1955135,-112.6524352,-113.6913507
21.3,-122.9062143,-107.406276,-107.0988874,-106.3586393,-105.6723398,-106.9426075
20.3,-115.7276793,-100.6223413,-100.4959061,-99.79628383,-99.06563343,-98.27542485
19.3,-109.2307984,-94.01786993,-94.4325859,-93.60683525,-92.7800328,-93.70903515
18.3,-102.7559175,-87.88578828,-87.9079199,-88.22490613,-87.09202988,-87.68485065
17.3,-96.1985581,-81.5368167,-81.96481165,-82.2432757,-80.68354395,-81.5503148
16.3,-89.77039475,-76.03892663,-76.24227463,-76.38260228,-74.71996943,-76.06136503
15.3,-83.47778213,-70.59643135,-70.50233908,-71.06277318,-69.1757125,-70.56781363
12.2,-62.84304383,-55.4644477,-55.25956583,-55.30602033,-53.81303405,-54.65066128
9.2,-45.92554203,-40.27816487,-40.1588294,-38.04392255,-38.411439,-39.06053108
6.2,-29.66651085,-24.69250483,-25.74544427,-25.01825605,-23.70652998,-23.4772814
3.1,-16.0787449,-11.8876725,-12.31579892,-11.93211105,-11.05994973,-11.3963066
