0, 0.1, 115762.65, -2.561843975000002
102, 1.1, 113493.9, -4.5504033500000105
204, 2.2, 109127.25, -8.377772074999996
306, 3.1, 104165.25, -12.726965074999995
408, 4.1, 99019.6, -17.237127299999997
510, 5.1, 94276.8, -21.39419149999999
612, 6.2, 89204.2, -25.840325399999998
714, 7.2, 83388.5, -30.937786450000004
816, 8.2, 77213.25, -36.350393075
918, 9.2, 70457.15, -42.272114725
1020, 10.2, 62907.4, -48.889470599999996
1122, 11.2, 53918.85, -56.767934675
1224, 12.2, 43712.65, -65.71366897499999
1326, 13.3, 31089.5, -76.77785994999999
1428, 14.2, 14703.2, -91.1404519
1530, 15.3, -6123.85, -109.395361225
1530, 15.3, -6896.9, -110.07293955
1428, 14.2, 11667.95, -93.80084852499999
1326, 13.3, 28541.2, -79.0114449
1224, 12.2, 41731.5, -67.45014695
1122, 11.2, 53009.65, -57.564848475
1020, 10.2, 62495.4, -49.2505886
918, 9.2, 70312.6, -42.398812799999995
816, 8.2, 77221.45, -36.343205775
714, 7.2, 83435.2, -30.896853899999996
612, 6.2, 89233.4, -25.814731600000002
510, 5.1, 94690.1, -21.03193404999999
408, 4.1, 100381.0, -16.043860199999997
306, 3.1, 106155.15, -10.982817725000004
204, 2.2, 111053.0, -6.689852200000004
102, 1.1, 114667.95, -3.5213485250000076
