0, 0.1, 3540.7, 2
102, 1.1, -3089.6, -3
204, 2.2, -10176.2, -8
306, 3.1, -18038.85, -14
408, 4.1, -26541.2, -20
510, 5.1, -36595.05, -28
612, 6.2, -47696.1, -36
714, 7.2, -60584.65, -46
816, 8.2, -76512.95, -58
918, 9.2, -98149.65, -74
1020, 10.2, -119724.1, -90
1122, 11.2, -147239.0, -111
1224, 12.2, -176916.55, -134
1326, 13.3, -211248.5, -159
1326, 13.3, -213677.95, -161
1224, 12.2, -181356.85, -137
1122, 11.2, -152176.55, -115
1020, 10.2, -125635.7, -95
918, 9.2, -101778.55, -77
816, 8.2, -81138.8, -61
714, 7.2, -63232.1, -48
612, 6.2, -48674.6, -37
510, 5.1, -36693.1, -28
408, 4.1, -26599.75, -20
306, 3.1, -17784.35, -14
204, 2.2, -9746.6, -8
102, 1.1, -2669.65, -2
