0.0 PSI, 89851.65 raw, 64 g 
1.0 PSI, 93863.9 raw, 67 g 
2.5 PSI, 100447.75 raw, 72 g 
4.4 PSI, 108983.38 raw, 79 g 
5.3 PSI, 113402.63 raw, 82 g 
6.6 PSI, 119435.67 raw, 87 g 
7.8 PSI, 125457.68 raw, 91 g 
9.0 PSI, 132155.05 raw, 96 g 
10.2 PSI, 139505.76 raw, 102 g 
11.8 PSI, 148729.76 raw, 109 g 
13.0 PSI, 156298.8 raw, 114 g 
14.3 PSI, 164989.47 raw, 121 g 
15.4 PSI, 173287.27 raw, 127 g 
16.3 PSI, 184135.28 raw, 135 g 
15.2 PSI, 174646.2 raw, 128 g 
14.4 PSI, 168355.09 raw, 123 g 
13.4 PSI, 160252.68 raw, 117 g 
12.1 PSI, 151412.05 raw, 111 g 
10.8 PSI, 143181.76 raw, 104 g 
9.4 PSI, 134644.06 raw, 98 g 
8.5 PSI, 129829.13 raw, 94 g 
7.1 PSI, 122316.73 raw, 89 g 
5.8 PSI, 115308.95 raw, 84 g 
4.7 PSI, 109676.41 raw, 79 g 
3.3 PSI, 103198.43 raw, 74 g 
1.8 PSI, 96590.35 raw, 69 g 
0.5 PSI, 91076.82 raw, 65 g 
0.1 PSI, 89102.67 raw, 64 g 
