0.0 PSI, 94948.56 raw, 68 g 
0.7 PSI, 97659.93 raw, 70 g 
1.0 PSI, 98905.52 raw, 71 g 
1.9 PSI, 102768.02 raw, 74 g 
3.4 PSI, 109547.06 raw, 79 g 
4.7 PSI, 115909.08 raw, 84 g 
6.0 PSI, 122100.06 raw, 89 g 
7.1 PSI, 127487.12 raw, 93 g 
8.1 PSI, 133304.07 raw, 97 g 
9.1 PSI, 138129.54 raw, 101 g 
10.9 PSI, 148203.86 raw, 108 g 
11.9 PSI, 154050.78 raw, 113 g 
13.0 PSI, 161326.32 raw, 118 g 
14.1 PSI, 168384.33 raw, 123 g 
15.1 PSI, 179213.87 raw, 132 g 
16.2 PSI, 187922.9 raw, 138 g 
17.4 PSI, 198484.26 raw, 146 g 
17.9 PSI, 202664.8 raw, 149 g 
17.2 PSI, 198045.57 raw, 146 g 
16.4 PSI, 191961.21 raw, 141 g 
15.2 PSI, 180931.76 raw, 133 g 
14.1 PSI, 172980.89 raw, 127 g 
13.1 PSI, 164844.59 raw, 121 g 
12.1 PSI, 157149.42 raw, 115 g 
11.4 PSI, 153569.08 raw, 112 g 
10.2 PSI, 145773.87 raw, 106 g 
9.1 PSI, 138471.17 raw, 101 g 
8.2 PSI, 134156.78 raw, 98 g 
7.4 PSI, 129557.14 raw, 94 g 
6.3 PSI, 124118.12 raw, 90 g 
5.2 PSI, 118021.35 raw, 86 g 
4.3 PSI, 113769.4 raw, 82 g 
3.0 PSI, 107277.93 raw, 77 g 
1.7 PSI, 102115.82 raw, 74 g 
0.9 PSI, 98437.98 raw, 71 g 
0.1 PSI, 95001.59 raw, 68 g 
