13.8 , 6649.6 , 6  
26.2 , 11708.7 , 10  
31.0 , 13676.0 , 11  
41.4 , 18557.4 , 15  
53.1 , 24854.9 , 19  
62.1 , 30891.4 , 24  
75.2 , 41781.0 , 32  
84.1 , 51668.8 , 39  
94.5 , 68298.1 , 52  
116.5 , 115237.0 , 87  
129.6 , 154729.8 , 117  
144.8 , 215243.6 , 162  
158.6 , 270047.3 , 203  
166.2 , 305656.6 , 230  
173.7 , 344878.7 , 259  
183.4 , 386504.1 , 291  
193.7 , 445225.7 , 335  
193.7 , 434970.2 , 327  
183.4 , 394737.0 , 297  
173.7 , 356281.0 , 268  
166.2 , 321962.4 , 242  
158.6 , 291125.2 , 219  
144.8 , 237362.3 , 179  
129.6 , 173423.2 , 131  
116.5 , 129622.3 , 98  
94.5 , 74248.7 , 56  
84.1 , 53922.5 , 41  
75.2 , 41744.3 , 32  
62.1 , 29711.5 , 23  
53.1 , 23384.9 , 18  
41.4 , 17689.0 , 14  
31.0 , 12996.4 , 11  
26.2 , 11329.6 , 9  
