13.8 kpa, 9773.8 raw, 8 g 
26.2 kpa, 13491.9 raw, 11 g 
31.0 kpa, 15182.1 raw, 12 g 
41.4 kpa, 19105.7 raw, 15 g 
53.1 kpa, 26215.8 raw, 20 g 
62.1 kpa, 34939.1 raw, 27 g 
75.2 kpa, 56782.2 raw, 43 g 
84.1 kpa, 83566.4 raw, 63 g 
94.5 kpa, 142187.3 raw, 107 g 
116.5 kpa, 391817.2 raw, 295 g 
129.6 kpa, 563085.7 raw, 423 g 
