16.5 kpa, 5169.1 raw, 5 g 
26.9 kpa, 10392.0 raw, 9 g 
57.2 kpa, 22273.1 raw, 17 g 
84.1 kpa, 36131.0 raw, 28 g 
103.4 kpa, 51608.4 raw, 39 g 
117.9 kpa, 66953.1 raw, 51 g 
135.8 kpa, 94423.0 raw, 72 g 
149.6 kpa, 123028.9 raw, 93 g 
160.0 kpa, 151642.4 raw, 114 g 
173.1 kpa, 186133.7 raw, 140 g 
187.5 kpa, 235398.2 raw, 177 g 
195.8 kpa, 266161.5 raw, 200 g 
206.1 kpa, 304014.2 raw, 229 g 
