13.8 kpa, 44261.7 raw, 34 g 
26.2 kpa, 52443.4 raw, 40 g 
31.0 kpa, 54736.6 raw, 42 g 
41.4 kpa, 62433.1 raw, 48 g 
53.1 kpa, 72260.4 raw, 55 g 
62.1 kpa, 81832.5 raw, 62 g 
75.2 kpa, 100453.0 raw, 76 g 
84.1 kpa, 118866.4 raw, 90 g 
94.5 kpa, 155047.5 raw, 117 g 
116.5 kpa, 279416.3 raw, 210 g 
129.6 kpa, 396637.7 raw, 298 g 
144.8 kpa, 580214.3 raw, 436 g 
116.5 kpa, 327288.0 raw, 246 g 
94.5 kpa, 183572.3 raw, 138 g 
84.1 kpa, 142197.2 raw, 107 g 
75.2 kpa, 115254.9 raw, 87 g 
62.1 kpa, 90065.8 raw, 68 g 
53.1 kpa, 78300.2 raw, 59 g 
41.4 kpa, 66332.2 raw, 50 g 
31.0 kpa, 58643.7 raw, 45 g 
26.2 kpa, 54760.6 raw, 42 g 
