13.8 kpa, 18566.0 raw, 15 g 
26.2 kpa, 25229.5 raw, 20 g 
31.0 kpa, 27676.3 raw, 22 g 
41.4 kpa, 35915.4 raw, 28 g 
53.1 kpa, 45095.4 raw, 35 g 
53.1 kpa, 44877.9 raw, 34 g 
62.1 kpa, 53858.4 raw, 41 g 
62.1 kpa, 58969.0 raw, 45 g 
75.2 kpa, 101454.6 raw, 77 g 
84.1 kpa, 118590.7 raw, 90 g 
94.5 kpa, 150557.8 raw, 114 g 
116.5 kpa, 260722.1 raw, 196 g 
129.6 kpa, 363543.1 raw, 273 g 
144.8 kpa, 525935.1 raw, 395 g 
158.6 kpa, 668510.1 raw, 502 g 
129.6 kpa, 334642.2 raw, 252 g 
116.5 kpa, 324818.3 raw, 244 g 
94.5 kpa, 180221.3 raw, 136 g 
84.1 kpa, 137441.6 raw, 104 g 
75.2 kpa, 114358.9 raw, 86 g 
62.1 kpa, 91479.4 raw, 69 g 
53.1 kpa, 79677.7 raw, 60 g 
41.4 kpa, 67516.2 raw, 51 g 
31.0 kpa, 58728.8 raw, 45 g 
26.2 kpa, 55289.4 raw, 42 g 
