13.8 kpa, 6108.2 raw, 5 g 
26.2 kpa, 11136.4 raw, 9 g 
31.0 kpa, 13091.5 raw, 11 g 
41.4 kpa, 18451.9 raw, 15 g 
53.1 kpa, 25649.5 raw, 20 g 
62.1 kpa, 32065.3 raw, 25 g 
75.2 kpa, 43406.2 raw, 33 g 
84.1 kpa, 53365.8 raw, 41 g 
94.5 kpa, 69732.3 raw, 53 g 
116.5 kpa, 116922.3 raw, 88 g 
129.6 kpa, 156312.6 raw, 118 g 
144.8 kpa, 238045.8 raw, 179 g 
158.6 kpa, 291376.9 raw, 219 g 
166.2 kpa, 324210.2 raw, 244 g 
173.7 kpa, 361058.5 raw, 271 g 
183.4 kpa, 407634.3 raw, 306 g 
