13.8 kpa, 6671.2 raw, 6 g 
26.2 kpa, 11142.2 raw, 9 g 
31.0 kpa, 16003.4 raw, 13 g 
41.4 kpa, 22775.4 raw, 18 g 
53.1 kpa, 34056.0 raw, 26 g 
62.1 kpa, 44045.6 raw, 34 g 
75.2 kpa, 71203.8 raw, 54 g 
84.1 kpa, 99001.4 raw, 75 g 
94.5 kpa, 144060.0 raw, 109 g 
116.5 kpa, 345490.4 raw, 260 g 
129.6 kpa, 355513.9 raw, 267 g 
