13.8 kpa, 6649.6 raw, 6 g 
26.2 kpa, 11708.7 raw, 10 g 
31.0 kpa, 13676.0 raw, 11 g 
41.4 kpa, 18557.4 raw, 15 g 
53.1 kpa, 24854.9 raw, 19 g 
62.1 kpa, 30891.4 raw, 24 g 
75.2 kpa, 41781.0 raw, 32 g 
84.1 kpa, 51668.8 raw, 39 g 
94.5 kpa, 68298.1 raw, 52 g 
116.5 kpa, 115237.0 raw, 87 g 
129.6 kpa, 154729.8 raw, 117 g 
144.8 kpa, 215243.6 raw, 162 g 
158.6 kpa, 270047.3 raw, 203 g 
166.2 kpa, 305656.6 raw, 230 g 
173.7 kpa, 344878.7 raw, 259 g 
183.4 kpa, 386504.1 raw, 291 g 
193.7 kpa, 445225.7 raw, 335 g 
193.7 kpa, 434970.2 raw, 327 g 
183.4 kpa, 394737.0 raw, 297 g 
173.7 kpa, 356281.0 raw, 268 g 
166.2 kpa, 321962.4 raw, 242 g 
158.6 kpa, 291125.2 raw, 219 g 
144.8 kpa, 237362.3 raw, 179 g 
129.6 kpa, 173423.2 raw, 131 g 
116.5 kpa, 129622.3 raw, 98 g 
94.5 kpa, 74248.7 raw, 56 g 
84.1 kpa, 53922.5 raw, 41 g 
75.2 kpa, 41744.3 raw, 32 g 
62.1 kpa, 29711.5 raw, 23 g 
53.1 kpa, 23384.9 raw, 18 g 
41.4 kpa, 17689.0 raw, 14 g 
31.0 kpa, 12996.4 raw, 11 g 
26.2 kpa, 11329.6 raw, 9 g 
